time;true_x_rob0; true_y_rob0; true_heading_rob0
8.94394;-2.41445; 0.628484; 3.10658
8.95994;-2.41452; 0.630492; 3.10658
8.97594;-2.41459; 0.6325; 3.10658
8.99194;-2.41466; 0.634509; 3.10658
9.00794;-2.41473; 0.636517; 3.10658
9.02394;-2.4148; 0.638526; 3.10658
9.03994;-2.41487; 0.640534; 3.10657
9.05594;-2.41494; 0.642542; 3.10657
9.07194;-2.41501; 0.644551; 3.10657
9.08794;-2.41508; 0.646559; 3.10657
9.10394;-2.41515; 0.648568; 3.10656
9.11994;-2.41522; 0.650576; 3.10656
9.13594;-2.41529; 0.652585; 3.10656
9.15194;-2.41536; 0.654593; 3.10656
9.16794;-2.41543; 0.656602; 3.10656
9.18394;-2.4155; 0.65861; 3.10657
9.19994;-2.41557; 0.660619; 3.10657
9.21594;-2.41565; 0.662627; 3.10657
9.23194;-2.41572; 0.664635; 3.10657
9.24794;-2.41579; 0.666644; 3.10658
9.26394;-2.41586; 0.668652; 3.10658
9.27994;-2.41593; 0.670661; 3.10658
9.29594;-2.416; 0.672669; 3.10658
9.31194;-2.41607; 0.674677; 3.10658
9.32794;-2.41614; 0.676686; 3.10657
9.34394;-2.41621; 0.678694; 3.10657
9.35994;-2.41628; 0.680702; 3.10657
9.37594;-2.41635; 0.682711; 3.10657
