time;true_x_rob0; true_y_rob0; true_heading_rob0;true_x_rob1; true_y_rob1; true_heading_rob1;true_x_rob2; true_y_rob2; true_heading_rob2;true_x_rob3; true_y_rob3; true_heading_rob3;true_x_rob4; true_y_rob4; true_heading_rob4
0.768;-1.94308; 0.00511319; -1.66812;-1.85445; 0.0888154; 1.44212;-1.86609; -0.0961847; 1.78077;-1.85555; 0.22524; -1.98796;-1.86241; -0.229063; -1.24785
0.784;-1.9415; 0.00526762; -1.66897;-1.85445; 0.0888088; 1.5125;-1.86605; -0.0961846; 1.7124;-1.8551; 0.22543; -1.93406;-1.86182; -0.229248; -1.3067
0.8;-1.93993; 0.00542339; -1.66983;-1.85444; 0.0888043; 1.5829;-1.86601; -0.0961877; 1.64426;-1.85463; 0.225594; -1.8802;-1.86121; -0.229395; -1.36585
0.816;-1.93835; 0.00558049; -1.67068;-1.85444; 0.0888003; 1.65331;-1.86598; -0.0961972; 1.57532;-1.85417; 0.225732; -1.82639;-1.86059; -0.229505; -1.42489
0.831999;-1.93676; 0.00574057; -1.67097;-1.85444; 0.0887972; 1.72372;-1.86595; -0.0962066; 1.50575;-1.85355; 0.22588; -1.78065;-1.85992; -0.229588; -1.48157
0.847999;-1.93517; 0.00590102; -1.67125;-1.85444; 0.0887953; 1.79411;-1.86595; -0.0962172; 1.43533;-1.85293; 0.225996; -1.73497;-1.8592; -0.229636; -1.53622
0.863999;-1.93358; 0.00606185; -1.67154;-1.85444; 0.0887943; 1.86448;-1.86595; -0.0962289; 1.36492;-1.8523; 0.226082; -1.68933;-1.85844; -0.229647; -1.58901
0.879999;-1.93199; 0.00622308; -1.67182;-1.85444; 0.0887945; 1.93482;-1.86595; -0.0962416; 1.29453;-1.85167; 0.22614; -1.64372;-1.85766; -0.229619; -1.6411
0.895999;-1.9304; 0.00638461; -1.67214;-1.85444; 0.0887955; 2.00512;-1.86595; -0.0962545; 1.22417;-1.851; 0.226172; -1.60626;-1.85691; -0.229552; -1.68776
0.911999;-1.9288; 0.00654662; -1.67245;-1.85444; 0.0887973; 2.07537;-1.86595; -0.0962677; 1.15384;-1.85035; 0.226179; -1.56975;-1.85609; -0.229443; -1.7312
0.927999;-1.92721; 0.00670911; -1.67277;-1.85444; 0.0887999; 2.14566;-1.86595; -0.0962812; 1.08354;-1.84971; 0.226164; -1.53325;-1.85525; -0.229294; -1.77357
0.943999;-1.92562; 0.0068721; -1.67309;-1.85442; 0.0888; 2.21679;-1.86595; -0.0962951; 1.01328;-1.84906; 0.226126; -1.49675;-1.85442; -0.229109; -1.81595
0.959999;-1.92403; 0.00703588; -1.6733;-1.85447; 0.0888509; 2.28481;-1.86602; -0.0963546; 0.946112;-1.84842; 0.226066; -1.47124;-1.85369; -0.228916; -1.84651
0.975999;-1.92244; 0.00719998; -1.67351;-1.85451; 0.0889068; 2.35272;-1.8661; -0.0964211; 0.879072;-1.84779; 0.225991; -1.44648;-1.85304; -0.228719; -1.87443
0.991999;-1.92084; 0.00736439; -1.67372;-1.85456; 0.0889672; 2.42054;-1.86616; -0.096494; 0.812127;-1.84717; 0.225903; -1.42169;-1.8524; -0.228506; -1.90219
1.008;-1.91925; 0.00752913; -1.67393;-1.8546; 0.0890318; 2.48831;-1.86626; -0.0965727; 0.745256;-1.84655; 0.2258; -1.39709;-1.85177; -0.228276; -1.92998
1.024;-1.91766; 0.00769419; -1.67414;-1.85481; 0.0893053; 2.54683;-1.86652; -0.0968568; 0.688147;-1.84594; 0.225684; -1.38562;-1.85119; -0.228053; -1.9469
1.04;-1.91607; 0.00785958; -1.67435;-1.855; 0.0895811; 2.60571;-1.86682; -0.0971479; 0.630743;-1.84534; 0.225566; -1.37534;-1.85066; -0.227834; -1.96235
1.056;-1.91447; 0.0080253; -1.67456;-1.85517; 0.0898572; 2.66497;-1.86715; -0.0974436; 0.572993;-1.84473; 0.22544; -1.36546;-1.85014; -0.227608; -1.97783
1.072;-1.91288; 0.00819136; -1.67478;-1.85531; 0.0901409; 2.72427;-1.86746; -0.0977439; 0.514966;-1.84412; 0.225309; -1.35555;-1.84961; -0.227374; -1.99336
1.088;-1.9113; 0.00835636; -1.67411;-1.85557; 0.0907434; 2.77151;-1.8678; -0.0982816; 0.467835;-1.84354; 0.225179; -1.35886;-1.84916; -0.227167; -1.99514
1.104;-1.90972; 0.00852016; -1.67343;-1.8558; 0.0913564; 2.81875;-1.86815; -0.0988335; 0.420769;-1.84297; 0.225053; -1.36214;-1.84871; -0.226959; -1.99678
1.12;-1.90814; 0.00868277; -1.67275;-1.856; 0.0919787; 2.86601;-1.86848; -0.0994064; 0.374054;-1.84239; 0.22493; -1.36536;-1.84826; -0.226751; -1.99846
1.136;-1.90656; 0.00884422; -1.67206;-1.85617; 0.092609; 2.91332;-1.86876; -0.100048; 0.325809;-1.84182; 0.224808; -1.36853;-1.84782; -0.226543; -2.00017
1.152;-1.90497; 0.00900565; -1.67177;-1.85635; 0.0934653; 2.9527;-1.86892; -0.10055; 0.278558;-1.84124; 0.22469; -1.3833;-1.8474; -0.226347; -1.98937
1.168;-1.90338; 0.00916662; -1.67148;-1.85651; 0.0943271; 2.99212;-1.86906; -0.101063; 0.231091;-1.84067; 0.22458; -1.39805;-1.84698; -0.226157; -1.97862
1.184;-1.90178; 0.00932713; -1.67118;-1.85662; 0.0951934; 3.03159;-1.86917; -0.101583; 0.183515;-1.84009; 0.22448; -1.41276;-1.84655; -0.225972; -1.96789
1.2;-1.90019; 0.00948718; -1.67089;-1.8567; 0.0960631; 3.07111;-1.86926; -0.102108; 0.135895;-1.83951; 0.224389; -1.42744;-1.84612; -0.225792; -1.9572
1.216;-1.8986; 0.00964718; -1.67074;-1.85676; 0.0970446; 3.10678;-1.86926; -0.102207; 0.061892;-1.83888; 0.224299; -1.45256;-1.8457; -0.225617; -1.94124
1.232;-1.897; 0.00980698; -1.67059;-1.85678; 0.0980273; -3.14068;-1.86926; -0.102369; -0.0168727;-1.83824; 0.224227; -1.47771;-1.84526; -0.22545; -1.9253
1.248;-1.89541; 0.00996656; -1.67044;-1.85676; 0.0990097; -3.10492;-1.86926; -0.102431; -0.0991326;-1.8376; 0.224172; -1.50284;-1.84483; -0.225289; -1.90938
1.264;-1.89381; 0.0101259; -1.6703;-1.85671; 0.0999908; -3.06912;-1.86925; -0.102407; -0.184421;-1.83696; 0.224134; -1.52797;-1.84439; -0.225137; -1.89347
1.28;-1.89221; 0.0102852; -1.67018;-1.85665; 0.10072; -3.03488;-1.86925; -0.102386; -0.268976;-1.83619; 0.224108; -1.56092;-1.84396; -0.224994; -1.88309
1.296;-1.89062; 0.0104442; -1.67007;-1.85656; 0.101437; -3.00095;-1.86925; -0.102371; -0.352957;-1.83541; 0.224112; -1.59389;-1.84352; -0.224856; -1.87271
1.312;-1.88902; 0.0106032; -1.66996;-1.85645; 0.102139; -2.96659;-1.86925; -0.10236; -0.436521;-1.83464; 0.224141; -1.62687;-1.84309; -0.224722; -1.86235
1.328;-1.88742; 0.0107619; -1.66985;-1.85632; 0.102832; -2.93197;-1.86924; -0.102352; -0.519761;-1.83386; 0.224196; -1.65984;-1.84265; -0.224593; -1.85198
1.344;-1.88583; 0.0109205; -1.66995;-1.85621; 0.103296; -2.89599;-1.86924; -0.102346; -0.602745;-1.833; 0.224286; -1.69288;-1.84222; -0.224471; -1.84669
1.36;-1.88423; 0.0110793; -1.67005;-1.85608; 0.103757; -2.85998;-1.86919; -0.102269; -0.681863;-1.83213; 0.224406; -1.72583;-1.84179; -0.224351; -1.84141
1.376;-1.88263; 0.0112383; -1.67016;-1.85594; 0.104214; -2.82394;-1.86919; -0.102257; -0.752733;-1.83126; 0.224554; -1.75871;-1.84136; -0.224234; -1.83612
1.392;-1.88104; 0.0113974; -1.67026;-1.85579; 0.104664; -2.78786;-1.8692; -0.102256; -0.822961;-1.83039; 0.224731; -1.79154;-1.84093; -0.224118; -1.83084
1.408;-1.87944; 0.0115567; -1.6704;-1.85566; 0.104973; -2.7554;-1.86917; -0.102275; -0.891971;-1.82953; 0.224937; -1.81993;-1.84051; -0.224007; -1.82947
1.424;-1.87784; 0.0117162; -1.67054;-1.85553; 0.105277; -2.72293;-1.86918; -0.102275; -0.961847;-1.82868; 0.225167; -1.84826;-1.84008; -0.223896; -1.82811
1.44;-1.87625; 0.0118759; -1.67068;-1.85539; 0.105576; -2.69044;-1.8692; -0.102274; -1.03158;-1.82783; 0.22542; -1.87654;-1.83966; -0.223786; -1.82675
1.456;-1.87465; 0.0120359; -1.67082;-1.85524; 0.105871; -2.65794;-1.86922; -0.102274; -1.10118;-1.827; 0.225696; -1.9048;-1.83924; -0.223676; -1.82539
1.472;-1.87306; 0.0121956; -1.67047;-1.85515; 0.106079; -2.63731;-1.86926; -0.102271; -1.17037;-1.82624; 0.22597; -1.92686;-1.83882; -0.223569; -1.82725
